Sentence,Entity,Sentiment,Probability
I telephoned AXA customer service as we had a query and the member of staff was very helpful in as much that her politeness made us choose to use AXA for our holiday insurance.,staff,positive,0.9988845
Got the quote on line which was very straightforward then rang axa.,axa,positive,0.9954543
Not enough information on insurance details no idea what cover I have including 90 days European cover but is that including fully comprehensive,information,negative,0.087218836
It was admittedly at 11pm but they DO claim to offer a 24-hour service and there was no message forthcoming to say that the site was down for maintenance.,service,positive,0.56509554
Good servicewith very little hassleeasy to use and very good price wise.,price,positive,0.99812883
Ok to get quotation and pay but silly issues requiring many reentries just to register to merely print documents,issues,negative,0.0126931295
i only had one problem with the address it automatically used the post office information which was out of date and i could not change it.,office information,negative,0.006753333
They were very helpful in all aspects of providing proper info for the correct insurance,aspects,positive,0.9987809
The website was unclear on how to cover a second vehicle when I rang the assistant didn't really know and had to find out.,cover,negative,0.012891648
good price &quick online service,service,positive,0.9990766
difficult on line would phone next time,phone,negative,0.008424354
I am a new customer with AXA car insurance and found the ease of their online service essential to someone who is not a regular IT user.,service,positive,0.99747866
First class service very cheap car insurance will stay with axa thankyou.,axa,positive,0.99831223
great service with axa insurance very good telephone communication  always replied to my emails  would recommend them to my friends and family,axa insurance,positive,0.9992105
Quite refreshing from my other insurance company and also a Â£300 save.,insurance,positive,0.9978022
good clear website and easy to use forms,website,positive,0.9990107
Therefore took a ridiculous amount of time to complete continually entering the same information,information,negative,0.008315275
Your advisor David was very thorough when taking this policy out EXCELLENT,advisor,positive,0.9990828
The whole process took me about 10 minutes!,process,positive,0.7067474
despite password matching critieria would not accept it.,password matching critieria,negative,0.003273944
Having recently purchased my home insurance I am delighted with the price I paid and how simple it was to buy,insurance,positive,0.99880946
We already have car ins with yourselves and bought a brand new car - we phoned for a quote- the sales assistant was very helpful polite and explained things in detail - due to this we accept your insurance for our second car - brilliant service - thank you - would recommend people contact Axa,brand,positive,0.9750401
The age of the travellers is the age at issue!,issue,negative,0.13811955
Very nice patient and polite staff.,staff,positive,0.9987913
Very good customer servicerecomending to any new driver,customer service,positive,0.99900323
easyquickgood price and good value and a nice recipe for chicken thrown in,value,positive,0.99868196
She was patient when I struggled to find information required and also informative about where I could find it.,patient,positive,0.99612963
This service was quick user friendly and the quote was very well priced will recommend this service to all my friends,service,positive,0.9991153
Excellent insurance with a fantastic price,price,positive,0.9988269
very easy to understand web site and good value travel insurance,insurance,positive,0.999209
Great price and policy compared to my previous company,price and policy,positive,0.994514
From the beginning to the end of my contact with AXA their representatives were friendly helpful competent and professional.,representatives,positive,0.9991836
unfortunately felt i had to cancel the problem being that i couldn't get to read the policy as there is no download available and therefore i was buying blind yours j grundy,j grundy,negative,0.01984004
cannot log in tried several times does not recognise my details (abysmal),times,negative,0.0035511926
Easy to follow prompt & questions to facilitate an smooth purchase.,questions,positive,0.999019
Quick and easy service very affordable payments very happy,payments,positive,0.99932826
Excellent service and very helpful which made for a smooth transition from one type of vehicle to another.,service,positive,0.99852777
Booked online which was quite easy selection of dates which was in a 7 day period this was followed up by a confirmation.,confirmation,positive,0.994048
Excellent customer service by axa quickly and efficiently handled my claim.,axa,positive,0.9987206
Purchased online so have no experience of customer service.,experience,negative,0.035642754
Good value for money in comparison to other quotes.,money,positive,0.9933416
your online application is very easy to filled compare to other company and easy to understand you give enough time to filled the form.and a quick quot if your price is wright next year you will from me again thank youhave a nice day.,price,positive,0.99657875
I have to say that I was disappointed by the apparent lack of knowledge of staff over the communication system between commercial and domestic departments when selling my van to get a car...and also when I had sellted back with Axa because of price your salesman bombarded me with yet more extras.,salesman,negative,0.0040159076
Your website made the process of finding travel insurance very easy straightforward questions.,website,positive,0.99918836
The proof of how good they are will be if I ever have to claim so all marks are moderated accordingly.,proof,positive,0.98778874
Registering to use the online policy docs was very difficult,policy,negative,0.007293171
