Sentence,Entity,Sentiment
"to be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of teodora.",food,positive
"the food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",food,positive
"not only was the food outstanding, but the little 'perks' were great.",food,positive
it is very overpriced and not very tasty.,price,negative
nevertheless the food itself is pretty good.,food,positive
"don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",food,positive
"best of all is the warm vibe, the owner is super friendly and service is fast.",service,positive
"from the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",food,positive
"from the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",service,positive
"great food at reasonable prices, makes for an evening that can't be beat!",price,positive
"great food at reasonable prices, makes for an evening that can't be beat!",food,positive
this little place has a cute interior decor and affordable city prices.,price,positive
the price is reasonable although the service is poor.,price,positive
the price is reasonable although the service is poor.,service,negative
it's a perfect place to have a amanzing indian food.,food,positive
the place is so cool and the service is prompt and curtious.,service,positive
"ive been to many thai restaurants in manhattan before, and toons is by far the best thai food ive had (except for my mom's of course).",food,positive
"nice atmosphere, the service was very pleasant and the desert was good.",service,positive
"fabulous service, fantastic food, and a chilled out atmosphere and environment.",food,positive
"fabulous service, fantastic food, and a chilled out atmosphere and environment.",service,positive
"pricey, but worth a try, at least once.",price,negative
"great food, good size menu, great service and an unpretensious setting.",food,positive
"great food, good size menu, great service and an unpretensious setting.",service,positive
"unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",food,positive
they are often crowded on the weekends but they are efficient and accurate with their service.,service,positive
"the atmosphere is unheralded, the service impecible, and the food magnificant.",food,positive
"the atmosphere is unheralded, the service impecible, and the food magnificant.",service,positive
"the wait staff is friendly, and the food has gotten better and better!",food,positive
"it may be a bit packed on weekends, but the vibe is good and it is the best french food you will find in the area.",food,positive
