Sentence,Entity,Sentiment
but the staff was so horrible to us.,service,negative
"to be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of teodora.",anecdotes,negative
"to be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of teodora.",food,positive
"the food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",food,positive
where gabriela personaly greets you and recommends you what to eat.,service,positive
"for those that go once and don't enjoy it, all i can say is that they just don't get it.",anecdotes,positive
"not only was the food outstanding, but the little 'perks' were great.",food,positive
"not only was the food outstanding, but the little 'perks' were great.",service,positive
it is very overpriced and not very tasty.,price,negative
it is very overpriced and not very tasty.,food,negative
our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,food,positive
our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,service,positive
"the bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",food,positive
nevertheless the food itself is pretty good.,food,positive
"they did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",food,negative
the design and atmosphere is just as good.,ambience,positive
he has visited thailand and is quite expert on the cuisine.,food,positive
i would definitely recommend mary's and am making it one of my regular neighborhood haunts.,anecdotes,positive
the pizza is the best if you like thin crusted pizza.,food,positive
my girlfriend and i stumbled onto this hopping place the other night and had a great time!,anecdotes,positive
"secondly, on this night the place was overwhelmed by upper east side ladies perfume.",ambience,negative
obviously run by folks who know a pie.,service,positive
we were very disappointed.,anecdotes,negative
it is definitely special and affordable.,price,positive
it is definitely special and affordable.,anecdotes,positive
i really liked this place.,anecdotes,positive
i will be going back very soon.,anecdotes,positive
"all the money went into the interior decoration, none of it went to the chefs.",food,negative
"all the money went into the interior decoration, none of it went to the chefs.",ambience,positive
the seats are uncomfortable if you are sitting against the wall on wooden benches.,ambience,negative
it was pretty inexpensive too.,price,positive
will not be back.,anecdotes,negative
"don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",food,positive
"best of all is the warm vibe, the owner is super friendly and service is fast.",ambience,positive
"best of all is the warm vibe, the owner is super friendly and service is fast.",service,positive
this isn't a value joint.,price,negative
faan's got a great concept but a little rough on the delivery.,anecdotes,positive
faan's got a great concept but a little rough on the delivery.,service,negative
"from the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",food,positive
"from the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",ambience,positive
"from the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",service,positive
"great food at reasonable prices, makes for an evening that can't be beat!",price,positive
"great food at reasonable prices, makes for an evening that can't be beat!",food,positive
look foward to trying the ruben upon returning.,anecdotes,positive
this little place has a cute interior decor and affordable city prices.,price,positive
this little place has a cute interior decor and affordable city prices.,ambience,positive
you'll adore it.,anecdotes,positive
two words: free wine.,price,positive
the price is reasonable although the service is poor.,price,positive
the price is reasonable although the service is poor.,service,negative
"the quantity is also very good, you will come out satisfied.",food,positive
i have been to roth's twice and both times were very disappointing.,anecdotes,negative
worth visiting the 1st ave spot because it is the original store.,anecdotes,positive
"raga's is a romantic, cozy restaurant.",ambience,positive
the fried rice is amazing here.,food,positive
"three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",food,positive
it's a perfect place to have a amanzing indian food.,food,positive
the place is so cool and the service is prompt and curtious.,ambience,positive
the place is so cool and the service is prompt and curtious.,service,positive
at the end you're left with a mild broth with noodles that you can slurp out of a cup.,food,positive
i just wonder how you can have such a delicious meal for such little money.,price,positive
i just wonder how you can have such a delicious meal for such little money.,food,positive
the wine list is excellent.,food,positive
so garantuan that you can't fit them in a toaster.,food,positive
"ive been to many thai restaurants in manhattan before, and toons is by far the best thai food ive had (except for my mom's of course).",food,positive
they wouldnt even let me finish my glass of wine before offering another.,service,positive
i highly recommend the sophia pizza.,anecdotes,positive
"whem asked, we had to ask more detailed questions so that we knew what the specials were.",service,negative
this is a consistently great place to dine for lunch or dinner.,anecdotes,positive
"nice atmosphere, the service was very pleasant and the desert was good.",food,positive
"nice atmosphere, the service was very pleasant and the desert was good.",ambience,positive
"nice atmosphere, the service was very pleasant and the desert was good.",service,positive
all the people that i bring there go back on their own and bring their friends!,anecdotes,positive
after really enjoying ourselves at the bar we sat down at a table and had dinner.,anecdotes,positive
"fabulous service, fantastic food, and a chilled out atmosphere and environment.",food,positive
"fabulous service, fantastic food, and a chilled out atmosphere and environment.",ambience,positive
"fabulous service, fantastic food, and a chilled out atmosphere and environment.",service,positive
not what i wanted to hear.,anecdotes,negative
try the lasagnette appetizer.,food,positive
"pricey, but worth a try, at least once.",price,negative
"pricey, but worth a try, at least once.",anecdotes,positive
"i've been there a few times, and i usually end up sitting next to some pretty odd people.",anecdotes,negative
i liked the beer selection!,food,positive
"great food, good size menu, great service and an unpretensious setting.",food,positive
"great food, good size menu, great service and an unpretensious setting.",ambience,positive
"great food, good size menu, great service and an unpretensious setting.",service,positive
can't wait to go back.,anecdotes,positive
wine list selection is good and wine-by-the-glass was generously filled to the top.,food,positive
"with the great variety on the menu , i eat here often and never get bored .",food,positive
the menu is very limited - i think we counted 4 or 5 entrees.,food,negative
"if you are a carnivore, come hungry and you will leave more satisfied than you have ever been.",anecdotes,positive
not too crazy about their sake martini.,food,negative
"great bagels, spreads and a good place to hang out in.",anecdotes,positive
"great bagels, spreads and a good place to hang out in.",food,positive
"whoever the jazz duo was, they were on point.",ambience,positive
one thing i liked about this place is that i never felt rushed or pressured to give up my table ot incoming guests.,service,positive
this place is a great bargain.,price,positive
we happened upon this place purely by accident and were pleased with the results.,anecdotes,positive
"unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",anecdotes,negative
"unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",food,positive
deff recimmend bukhara they also have opened two new locations guess ill try them out.,anecdotes,positive
we always have a delicious meal and always leave feeling satisfied.,food,positive
first went here to enjoy their garden terrace.,ambience,positive
"everyone i have spoken too there is super friendly, helpful, and willing to the extra mile for a customer.",service,positive
the pizza was pretty good and huge.,food,positive
sapphire is the only indian restaurant i go to when i'm in nyc.,anecdotes,positive
i heartily recommend.,anecdotes,positive
heartland brewery is by far one of the best places in nyc to make new friends and catch up with old ones.,anecdotes,positive
i almost hesititate to write a review because the atmosphere was so great and i would hate for it too become to crowded.,ambience,positive
they are often crowded on the weekends but they are efficient and accurate with their service.,ambience,negative
